  25.2000008  9.45654678 0.0
  25.6000004  10.0718365 0.0
  26.  10.7674026 0.0
  26.3999996  11.4287777 0.0
  26.7999992  12.1486235 0.0
  27.2000008  12.7906895 0.0
  27.6000004  13.4083862 0.0
  28.  14.0261545 0.0
  28.3999996  14.6258116 0.0
  28.7999992  15.1986895 0.0
  29.2000008  15.8081284 0.0
  29.6000004  16.3915863 0.0
  30.  16.8917942 0.0
  30.3999996  17.5014553 0.0
  30.7999992  18.0560589 0.0
  31.2000008  18.5629177 0.0
  31.6000004  19.1579361 0.0
  32.  19.6897678 0.0
  32.4000015  20.2351017 0.0
  32.7999992  20.7606735 0.0
  33.2000008  21.3404922 0.0
  33.5999985  21.8962002 0.0
  34.  22.4775524 0.0
  34.4000015  23.0319633 0.0
  34.7999992  23.6306992 0.0
  35.2000008  24.2640057 0.0
  35.5999985  24.861393 0.0
  36.  25.4755192 0.0
  36.4000015  26.08498 0.0
  36.7999992  26.6271095 0.0
  37.2000008  27.1559792 0.0
  37.5999985  27.6070194 0.0
  38.  27.9411221 0.0
  38.4000015  28.0574799 0.0
  38.7999992  27.9064293 0.0
  39.2000008  27.3507481 0.0
  39.5999985  26.3688831 0.0
  40.  24.8719044 0.0
  40.4000015  22.9948788 0.0
  40.7999992  20.8473568 0.0
  41.2000008  18.630682 0.0
  41.5999985  16.4886131 0.0
  42.  14.5369043 0.0
  42.4000015  12.7968035 0.0
  42.7999992  11.3020134 0.0
  43.2000008  9.97994232 0.0
  43.5999985  8.86526489 0.0
  44.  7.90320969 0.0
  44.4000015  7.08143473 0.0
  44.7999992  6.35593414 0.0
  45.2000008  5.70798159 0.0
  45.5999985  5.17177629 0.0
  46.  4.68629599 0.0
  46.4000015  4.24582434 0.0
  46.7999992  3.8622179 0.0
  47.2000008  3.54159832 0.0
  47.5999985  3.24066043 0.0
  48.  2.96846771 0.0
  48.4000015  2.75221014 0.0
  48.7999992  2.52198434 0.0
  49.2000008  2.32454276 0.0
  49.5999985  2.14521599 0.0
  50.  1.98997605 0.0
  50.4000015  1.84460449 0.0
  50.7999992  1.70562446 0.0
  51.2000008  1.58253026 0.0
  51.6000023  1.4773339 0.0
  52.  1.3749814 0.0
  52.4000015  1.28237629 0.0
  52.7999992  1.18708241 0.0
  53.2000008  1.11016774 0.0
  53.6000023  1.04429924 0.0
  54.  0.968742311 0.0
  54.4000015  0.913321316 0.0
  54.7999992  0.855630338 0.0
  55.2000008  0.808077216 0.0
  55.6000023  0.758965552 0.0
  56.  0.705438793 0.0
  56.4000015  0.664710343 0.0
  56.7999992  0.629989505 0.0
  57.2000008  0.591343641 0.0
  57.6000023  0.547412395 0.0
  58.  0.524169266 0.0
  58.4000015  0.49110654 0.0
  58.7999992  0.459248841 0.0
  59.2000008  0.432638884 0.0
  59.6000023  0.410224944 0.0
  60.  0.390410721 0.0
  60.4000015  0.366633564 0.0
  60.7999992  0.346699625 0.0
  61.2000008  0.324470878 0.0
  61.6000023  0.308462232 0.0
  62.  0.290082395 0.0
  62.4000015  0.274963856 0.0
  62.7999992  0.257961661 0.0
  63.2000008  0.238355562 0.0
  63.6000023  0.231772661 0.0
  64.  0.21785818 0.0
  64.4000015  0.20540382 0.0
  64.8000031  0.191474572 0.0
