  0.600000024  0. 0.0
  1.80000007  0. 0.0
  3.  0. 0.0
  4.20000029  0. 0.0
  5.4000001  0. 0.0
  6.60000038  0. 0.0
  7.80000019  0. 0.0
  9.  0. 0.0
  10.2000008  0. 0.0
  11.4000006  0. 0.0
  12.6000004  0. 0.0
  13.8000002  0. 0.0
  15.000001  0. 0.0
  16.2000008  0. 0.0
  17.4000015  0. 0.0
  18.6000004  0. 0.0
  19.8000011  0. 0.0
  21.  0. 0.0
  22.2000008  0. 0.0
  23.4000015  0. 0.0
  24.6000004  1.55414808 0.0
  25.8000011  10.4911375 0.0
  27.0000019  12.4611797 0.0
  28.2000008  14.3454275 0.0
  29.4000015  16.0627232 0.0
  30.6000004  17.7358131 0.0
  31.8000011  19.360014 0.0
  33.  21.0432529 0.0
  34.2000008  22.7597141 0.0
  35.4000015  24.542202 0.0
  36.6000023  26.3209705 0.0
  37.8000031  27.6880913 0.0
  39.  27.5162582 0.0
  40.2000008  23.9466267 0.0
  41.4000015  17.6870308 0.0
  42.6000023  12.2040653 0.0
  43.8000031  8.50976944 0.0
  45.  6.0953083 0.0
  46.2000008  4.50241375 0.0
  47.4000015  3.41616845 0.0
  48.6000023  2.64124513 0.0
  49.8000031  2.07694507 0.0
  51.0000038  1.65508795 0.0
  52.2000008  1.33397114 0.0
  53.4000015  1.0826664 0.0
  54.6000023  0.88950628 0.0
  55.8000031  0.735833228 0.0
  57.0000038  0.611822724 0.0
  58.2000008  0.510580003 0.0
  59.4000015  0.42514357 0.0
