  0.600000024  0. 0.0
  1.80000007  0. 0.0
  3.  0. 0.0
  4.20000029  0. 0.0
  5.4000001  0. 0.0
  6.60000038  0. 0.0
  7.80000019  0. 0.0
  9.  0. 0.0
  10.2000008  0. 0.0
  11.4000006  0. 0.0
  12.6000004  0. 0.0
  13.8000002  0. 0.0
  15.000001  0. 0.0
  16.2000008  0. 0.0
  17.4000015  0. 0.0
  18.6000004  0. 0.0
  19.8000011  0. 0.0
  21.  0. 0.0
  22.2000008  0. 0.0
  23.4000015  0. 0.0
  24.6000004  1.55438828 0.0
  25.8000011  10.4913063 0.0
  27.0000019  12.4629555 0.0
  28.2000008  14.3449917 0.0
  29.4000015  16.0609913 0.0
  30.6000004  17.7341881 0.0
  31.8000011  19.3596439 0.0
  33.  21.0393257 0.0
  34.2000008  22.7587452 0.0
  35.4000015  24.5385914 0.0
  36.6000023  26.3166981 0.0
  37.8000031  27.6948223 0.0
  39.  27.5548954 0.0
  40.2000008  24.0259399 0.0
  41.4000015  17.7727318 0.0
  42.6000023  12.2685442 0.0
  43.8000031  8.54935646 0.0
  45.  6.12465954 0.0
  46.2000008  4.52178955 0.0
  47.4000015  3.42910743 0.0
  48.6000023  2.65175605 0.0
  49.8000031  2.08548975 0.0
  51.0000038  1.66086352 0.0
  52.2000008  1.33853245 0.0
  53.4000015  1.08652556 0.0
  54.6000023  0.892858267 0.0
  55.8000031  0.738808811 0.0
  57.0000038  0.613516688 0.0
  58.2000008  0.512582064 0.0
  59.4000015  0.426825613 0.0
