  0.600000024  0. 0.0
  1.80000007  0. 0.0
  3.  0. 0.0
  4.20000029  0. 0.0
  5.4000001  0. 0.0
  6.60000038  0. 0.0
  7.80000019  0. 0.0
  9.  0. 0.0
  10.2000008  0. 0.0
  11.4000006  0. 0.0
  12.6000004  0. 0.0
  13.8000002  0. 0.0
  15.000001  0. 0.0
  16.2000008  0. 0.0
  17.4000015  0. 0.0
  18.6000004  0. 0.0
  19.8000011  0. 0.0
  21.  0. 0.0
  22.2000008  0. 0.0
  23.4000015  0. 0.0
  24.6000004  1.55425096 0.0
  25.8000011  10.4914856 0.0
  27.0000019  12.4637032 0.0
  28.2000008  14.3442812 0.0
  29.4000015  16.0609074 0.0
  30.6000004  17.7352409 0.0
  31.8000011  19.3586922 0.0
  33.  21.0385418 0.0
  34.2000008  22.758749 0.0
  35.4000015  24.5386925 0.0
  36.6000023  26.3162975 0.0
  37.8000031  27.6954536 0.0
  39.  27.5570564 0.0
  40.2000008  24.0316563 0.0
  41.4000015  17.7776928 0.0
  42.6000023  12.2738295 0.0
  43.8000031  8.55281448 0.0
  45.  6.12623453 0.0
  46.2000008  4.5229578 0.0
  47.4000015  3.43040967 0.0
  48.6000023  2.65228701 0.0
  49.8000031  2.08614063 0.0
  51.0000038  1.66093504 0.0
  52.2000008  1.33920765 0.0
  53.4000015  1.08673489 0.0
  54.6000023  0.893309653 0.0
  55.8000031  0.73854208 0.0
  57.0000038  0.613983393 0.0
  58.2000008  0.512677431 0.0
  59.4000015  0.42699793 0.0
