  25.2000008  9.45653629 0.0
  25.6000004  10.0646267 0.0
  26.  10.7716436 0.0
  26.3999996  11.4254904 0.0
  26.7999992  12.1494017 0.0
  27.2000008  12.7846813 0.0
  27.6000004  13.4190178 0.0
  28.  14.0204115 0.0
  28.3999996  14.6163721 0.0
  28.7999992  15.2086248 0.0
  29.2000008  15.8078804 0.0
  29.6000004  16.3757172 0.0
  30.  16.8979244 0.0
  30.3999996  17.5017719 0.0
  30.7999992  18.0424728 0.0
  31.2000008  18.5746231 0.0
  31.6000004  19.1469841 0.0
  32.  19.683857 0.0
  32.4000015  20.2350178 0.0
  32.7999992  20.7506199 0.0
  33.2000008  21.3356895 0.0
  33.5999985  21.8949242 0.0
  34.  22.4746265 0.0
  34.4000015  23.0233288 0.0
  34.7999992  23.6277504 0.0
  35.2000008  24.2519951 0.0
  35.5999985  24.8431664 0.0
  36.  25.4769878 0.0
  36.4000015  26.0895348 0.0
  36.7999992  26.6174984 0.0
  37.2000008  27.1572914 0.0
  37.5999985  27.6098862 0.0
  38.  27.9567261 0.0
  38.4000015  28.1114788 0.0
  38.7999992  27.9603291 0.0
  39.2000008  27.4514809 0.0
  39.5999985  26.494009 0.0
  40.  25.0356216 0.0
  40.4000015  23.1856556 0.0
  40.7999992  21.0326786 0.0
  41.2000008  18.8309097 0.0
  41.5999985  16.6673164 0.0
  42.  14.6964493 0.0
  42.4000015  12.9493437 0.0
  42.7999992  11.4221039 0.0
  43.2000008  10.0789499 0.0
  43.5999985  8.96546078 0.0
  44.  7.98081017 0.0
  44.4000015  7.15243626 0.0
  44.7999992  6.41993284 0.0
  45.2000008  5.76749277 0.0
  45.5999985  5.2213192 0.0
  46.  4.72624636 0.0
  46.4000015  4.28990412 0.0
  46.7999992  3.89870644 0.0
  47.2000008  3.56803679 0.0
  47.5999985  3.26781416 0.0
  48.  2.99565792 0.0
  48.4000015  2.77352858 0.0
  48.7999992  2.54346585 0.0
  49.2000008  2.34531736 0.0
  49.5999985  2.16234541 0.0
  50.  2.00356364 0.0
  50.4000015  1.85934007 0.0
  50.7999992  1.72404492 0.0
  51.2000008  1.5962379 0.0
  51.6000023  1.48422134 0.0
  52.  1.38596582 0.0
  52.4000015  1.29200053 0.0
  52.7999992  1.1981082 0.0
  53.2000008  1.11890912 0.0
  53.6000023  1.05145085 0.0
  54.  0.976716518 0.0
  54.4000015  0.918063045 0.0
  54.7999992  0.864615142 0.0
  55.2000008  0.814081728 0.0
  55.6000023  0.764288664 0.0
  56.  0.709792078 0.0
  56.4000015  0.672290087 0.0
  56.7999992  0.632825255 0.0
  57.2000008  0.59523344 0.0
  57.6000023  0.55590415 0.0
  58.  0.526527524 0.0
  58.4000015  0.495949388 0.0
  58.7999992  0.462300837 0.0
  59.2000008  0.43462044 0.0
  59.6000023  0.414704651 0.0
  60.  0.392944247 0.0
  60.4000015  0.369264096 0.0
  60.7999992  0.351830095 0.0
  61.2000008  0.325837463 0.0
  61.6000023  0.312805533 0.0
  62.  0.290910274 0.0
  62.4000015  0.277748942 0.0
  62.7999992  0.261430442 0.0
  63.2000008  0.239684731 0.0
  63.6000023  0.2344414 0.0
  64.  0.218053907 0.0
  64.4000015  0.20695208 0.0
  64.8000031  0.195752308 0.0
