  25.2000008  9.45794296 0.0
  25.6000004  10.0666752 0.0
  26.  10.7655382 0.0
  26.3999996  11.4278221 0.0
  26.7999992  12.1497459 0.0
  27.2000008  12.7834368 0.0
  27.6000004  13.4193516 0.0
  28.  14.0223799 0.0
  28.3999996  14.6173468 0.0
  28.7999992  15.2053976 0.0
  29.2000008  15.8081903 0.0
  29.6000004  16.3771896 0.0
  30.  16.9023476 0.0
  30.3999996  17.5011234 0.0
  30.7999992  18.0436726 0.0
  31.2000008  18.5742989 0.0
  31.6000004  19.1515903 0.0
  32.  19.6823006 0.0
  32.4000015  20.2378407 0.0
  32.7999992  20.7549953 0.0
  33.2000008  21.3333912 0.0
  33.5999985  21.8954506 0.0
  34.  22.4809189 0.0
  34.4000015  23.0202408 0.0
  34.7999992  23.6327248 0.0
  35.2000008  24.2541904 0.0
  35.5999985  24.8460484 0.0
  36.  25.4757671 0.0
  36.4000015  26.0903645 0.0
  36.7999992  26.6155281 0.0
  37.2000008  27.1631813 0.0
  37.5999985  27.6014519 0.0
  38.  27.9563332 0.0
  38.4000015  28.0989094 0.0
  38.7999992  27.9384117 0.0
  39.2000008  27.4262333 0.0
  39.5999985  26.4497299 0.0
  40.  24.9885597 0.0
  40.4000015  23.1282063 0.0
  40.7999992  20.9775085 0.0
  41.2000008  18.7708454 0.0
  41.5999985  16.6148796 0.0
  42.  14.6498775 0.0
  42.4000015  12.9032125 0.0
  42.7999992  11.381999 0.0
  43.2000008  10.0510426 0.0
  43.5999985  8.93321991 0.0
  44.  7.95771313 0.0
  44.4000015  7.13252163 0.0
  44.7999992  6.39919233 0.0
  45.2000008  5.75073719 0.0
  45.5999985  5.20517874 0.0
  46.  4.71589947 0.0
  46.4000015  4.27683926 0.0
  46.7999992  3.88887382 0.0
  47.2000008  3.55973625 0.0
  47.5999985  3.26022053 0.0
  48.  2.98518896 0.0
  48.4000015  2.76646399 0.0
  48.7999992  2.53940392 0.0
  49.2000008  2.33679628 0.0
  49.5999985  2.15886903 0.0
  50.  1.99945891 0.0
  50.4000015  1.85519826 0.0
  50.7999992  1.71728015 0.0
  51.2000008  1.59354532 0.0
  51.6000023  1.48161185 0.0
  52.  1.38100207 0.0
  52.4000015  1.28973806 0.0
  52.7999992  1.1956557 0.0
  53.2000008  1.11618936 0.0
  53.6000023  1.04801118 0.0
  54.  0.975146353 0.0
  54.4000015  0.918997645 0.0
  54.7999992  0.861352146 0.0
  55.2000008  0.811116993 0.0
  55.6000023  0.762709439 0.0
  56.  0.708212197 0.0
  56.4000015  0.669720531 0.0
  56.7999992  0.630339503 0.0
  57.2000008  0.595049262 0.0
  57.6000023  0.553883374 0.0
  58.  0.526026189 0.0
  58.4000015  0.495512456 0.0
  58.7999992  0.460346043 0.0
  59.2000008  0.433865458 0.0
  59.6000023  0.413835824 0.0
  60.  0.392047167 0.0
  60.4000015  0.368886501 0.0
  60.7999992  0.348628134 0.0
  61.2000008  0.32678014 0.0
  61.6000023  0.311261475 0.0
  62.  0.291631967 0.0
  62.4000015  0.275735557 0.0
  62.7999992  0.260638267 0.0
  63.2000008  0.238852009 0.0
  63.6000023  0.23355417 0.0
  64.  0.217835158 0.0
  64.4000015  0.207010075 0.0
  64.8000031  0.194910496 0.0
