  25.2000008  9.45614815 0.0
  25.6000004  10.0696535 0.0
  26.  10.7671061 0.0
  26.3999996  11.4335155 0.0
  26.7999992  12.1449728 0.0
  27.2000008  12.7947578 0.0
  27.6000004  13.4093342 0.0
  28.  14.0262041 0.0
  28.3999996  14.6202888 0.0
  28.7999992  15.2051544 0.0
  29.2000008  15.8099337 0.0
  29.6000004  16.3867321 0.0
  30.  16.8962536 0.0
  30.3999996  17.5013161 0.0
  30.7999992  18.0525208 0.0
  31.2000008  18.5673561 0.0
  31.6000004  19.1521397 0.0
  32.  19.6950531 0.0
  32.4000015  20.232338 0.0
  32.7999992  20.760767 0.0
  33.2000008  21.3432217 0.0
  33.5999985  21.8967896 0.0
  34.  22.4773903 0.0
  34.4000015  23.0303307 0.0
  34.7999992  23.6325779 0.0
  35.2000008  24.2662811 0.0
  35.5999985  24.8582077 0.0
  36.  25.4749508 0.0
  36.4000015  26.0870686 0.0
  36.7999992  26.6270466 0.0
  37.2000008  27.1575775 0.0
  37.5999985  27.6078644 0.0
  38.  27.9404354 0.0
  38.4000015  28.053648 0.0
  38.7999992  27.9041996 0.0
  39.2000008  27.3500156 0.0
  39.5999985  26.3642902 0.0
  40.  24.8657513 0.0
  40.4000015  22.9889584 0.0
  40.7999992  20.8399563 0.0
  41.2000008  18.6231709 0.0
  41.5999985  16.482975 0.0
  42.  14.5316181 0.0
  42.4000015  12.792675 0.0
  42.7999992  11.2977066 0.0
  43.2000008  9.97626114 0.0
  43.5999985  8.86145782 0.0
  44.  7.90041018 0.0
  44.4000015  7.07965231 0.0
  44.7999992  6.35434246 0.0
  45.2000008  5.70704079 0.0
  45.5999985  5.169415 0.0
  46.  4.68575859 0.0
  46.4000015  4.2448554 0.0
  46.7999992  3.85947394 0.0
  47.2000008  3.5407021 0.0
  47.5999985  3.23826718 0.0
  48.  2.96999693 0.0
  48.4000015  2.75002646 0.0
  48.7999992  2.52138186 0.0
  49.2000008  2.32401109 0.0
  49.5999985  2.14490438 0.0
  50.  1.98913217 0.0
  50.4000015  1.84392321 0.0
  50.7999992  1.70679593 0.0
  51.2000008  1.57994592 0.0
  51.6000023  1.4781481 0.0
  52.  1.37469542 0.0
  52.4000015  1.28217328 0.0
  52.7999992  1.18659103 0.0
  53.2000008  1.11060023 0.0
  53.6000023  1.04357183 0.0
  54.  0.967426956 0.0
  54.4000015  0.913648844 0.0
  54.7999992  0.855676949 0.0
  55.2000008  0.807803333 0.0
  55.6000023  0.758598149 0.0
  56.  0.705940485 0.0
  56.4000015  0.664232433 0.0
  56.7999992  0.629247427 0.0
  57.2000008  0.591862261 0.0
  57.6000023  0.547572553 0.0
  58.  0.523228705 0.0
  58.4000015  0.491537035 0.0
  58.7999992  0.458876371 0.0
  59.2000008  0.432728678 0.0
  59.6000023  0.410279602 0.0
  60.  0.389922291 0.0
  60.4000015  0.366320044 0.0
  60.7999992  0.346741945 0.0
  61.2000008  0.324556738 0.0
  61.6000023  0.30866161 0.0
  62.  0.289635777 0.0
  62.4000015  0.274746567 0.0
  62.7999992  0.258463293 0.0
  63.2000008  0.238434955 0.0
  63.6000023  0.231729388 0.0
  64.  0.217246056 0.0
  64.4000015  0.20558092 0.0
  64.8000031  0.191101745 0.0
