  25.2000008  9.45833206 0.0
  25.6000004  10.0688705 0.0
  26.  10.7631006 0.0
  26.3999996  11.426465 0.0
  26.7999992  12.1495876 0.0
  27.2000008  12.7814951 0.0
  27.6000004  13.4193363 0.0
  28.  14.0229549 0.0
  28.3999996  14.6175394 0.0
  28.7999992  15.2044411 0.0
  29.2000008  15.8033524 0.0
  29.6000004  16.3792973 0.0
  30.  16.8934002 0.0
  30.3999996  17.506094 0.0
  30.7999992  18.0388165 0.0
  31.2000008  18.5743332 0.0
  31.6000004  19.1463852 0.0
  32.  19.6800079 0.0
  32.4000015  20.235321 0.0
  32.7999992  20.7502174 0.0
  33.2000008  21.3322353 0.0
  33.5999985  21.8905754 0.0
  34.  22.480114 0.0
  34.4000015  23.0129509 0.0
  34.7999992  23.629221 0.0
  35.2000008  24.2473736 0.0
  35.5999985  24.8445835 0.0
  36.  25.4705162 0.0
  36.4000015  26.0880203 0.0
  36.7999992  26.6147137 0.0
  37.2000008  27.16008 0.0
  37.5999985  27.6110497 0.0
  38.  27.9660263 0.0
  38.4000015  28.131382 0.0
  38.7999992  27.9804554 0.0
  39.2000008  27.4944134 0.0
  39.5999985  26.5359325 0.0
  40.  25.1019478 0.0
  40.4000015  23.2604027 0.0
  40.7999992  21.1100693 0.0
  41.2000008  18.9151573 0.0
  41.5999985  16.7372456 0.0
  42.  14.7592077 0.0
  42.4000015  13.0082626 0.0
  42.7999992  11.47052 0.0
  43.2000008  10.1235218 0.0
  43.5999985  9.00362492 0.0
  44.  8.00983238 0.0
  44.4000015  7.18322134 0.0
  44.7999992  6.44571781 0.0
  45.2000008  5.79022741 0.0
  45.5999985  5.23995209 0.0
  46.  4.74447489 0.0
  46.4000015  4.30568361 0.0
  46.7999992  3.91319537 0.0
  47.2000008  3.58030725 0.0
  47.5999985  3.27887583 0.0
  48.  3.00490856 0.0
  48.4000015  2.78426623 0.0
  48.7999992  2.55025744 0.0
  49.2000008  2.35330153 0.0
  49.5999985  2.17035818 0.0
  50.  2.01018071 0.0
  50.4000015  1.86562824 0.0
  50.7999992  1.72808242 0.0
  51.2000008  1.60286272 0.0
  51.6000023  1.48870814 0.0
  52.  1.38868773 0.0
  52.4000015  1.29554117 0.0
  52.7999992  1.20355117 0.0
  53.2000008  1.12052512 0.0
  53.6000023  1.05654585 0.0
  54.  0.979475975 0.0
  54.4000015  0.922137499 0.0
  54.7999992  0.865952075 0.0
  55.2000008  0.816866994 0.0
  55.6000023  0.765496314 0.0
  56.  0.713072538 0.0
  56.4000015  0.673676729 0.0
  56.7999992  0.634372294 0.0
  57.2000008  0.598309696 0.0
  57.6000023  0.557849824 0.0
  58.  0.527550399 0.0
  58.4000015  0.497970611 0.0
  58.7999992  0.463320464 0.0
  59.2000008  0.436962426 0.0
  59.6000023  0.416267872 0.0
  60.  0.39331913 0.0
  60.4000015  0.371601313 0.0
  60.7999992  0.351063132 0.0
  61.2000008  0.328297883 0.0
  61.6000023  0.313517809 0.0
  62.  0.292215914 0.0
  62.4000015  0.277715176 0.0
  62.7999992  0.262685984 0.0
  63.2000008  0.240597874 0.0
  63.6000023  0.235645756 0.0
  64.  0.219007835 0.0
  64.4000015  0.207600102 0.0
  64.8000031  0.196449608 0.0
