  25.2000008  9.4571085 0.0
  25.6000004  10.0667725 0.0
  26.  10.7697115 0.0
  26.3999996  11.4257107 0.0
  26.7999992  12.148427 0.0
  27.2000008  12.786788 0.0
  27.6000004  13.4156199 0.0
  28.  14.0213108 0.0
  28.3999996  14.6177998 0.0
  28.7999992  15.2063103 0.0
  29.2000008  15.8061562 0.0
  29.6000004  16.3774776 0.0
  30.  16.8962708 0.0
  30.3999996  17.5013046 0.0
  30.7999992  18.0432968 0.0
  31.2000008  18.5743656 0.0
  31.6000004  19.148159 0.0
  32.  19.6800098 0.0
  32.4000015  20.2346249 0.0
  32.7999992  20.7497997 0.0
  33.2000008  21.3377457 0.0
  33.5999985  21.8931484 0.0
  34.  22.4764824 0.0
  34.4000015  23.0215473 0.0
  34.7999992  23.6290722 0.0
  35.2000008  24.2490578 0.0
  35.5999985  24.8458405 0.0
  36.  25.4733467 0.0
  36.4000015  26.0911388 0.0
  36.7999992  26.6179161 0.0
  37.2000008  27.1567726 0.0
  37.5999985  27.609827 0.0
  38.  27.9580116 0.0
  38.4000015  28.114872 0.0
  38.7999992  27.9637737 0.0
  39.2000008  27.4574547 0.0
  39.5999985  26.5025349 0.0
  40.  25.0451603 0.0
  40.4000015  23.2008972 0.0
  40.7999992  21.0418243 0.0
  41.2000008  18.8454628 0.0
  41.5999985  16.678381 0.0
  42.  14.7095594 0.0
  42.4000015  12.9571428 0.0
  42.7999992  11.431776 0.0
  43.2000008  10.0840292 0.0
  43.5999985  8.97220325 0.0
  44.  7.98680782 0.0
  44.4000015  7.15892792 0.0
  44.7999992  6.4222436 0.0
  45.2000008  5.77338791 0.0
  45.5999985  5.22381115 0.0
  46.  4.72843838 0.0
  46.4000015  4.29337597 0.0
  46.7999992  3.89972091 0.0
  47.2000008  3.57117581 0.0
  47.5999985  3.26953197 0.0
  48.  2.99581075 0.0
  48.4000015  2.77640986 0.0
  48.7999992  2.54421353 0.0
  49.2000008  2.34724021 0.0
  49.5999985  2.16295338 0.0
  50.  2.00478292 0.0
  50.4000015  1.86066699 0.0
  50.7999992  1.72449195 0.0
  51.2000008  1.59752858 0.0
  51.6000023  1.48462963 0.0
  52.  1.38708377 0.0
  52.4000015  1.29199815 0.0
  52.7999992  1.1990428 0.0
  53.2000008  1.11879039 0.0
  53.6000023  1.05240965 0.0
  54.  0.97697103 0.0
  54.4000015  0.919320703 0.0
  54.7999992  0.864160717 0.0
  55.2000008  0.81486249 0.0
  55.6000023  0.765086353 0.0
  56.  0.709631503 0.0
  56.4000015  0.672559142 0.0
  56.7999992  0.632791936 0.0
  57.2000008  0.595578134 0.0
  57.6000023  0.556292832 0.0
  58.  0.526914597 0.0
  58.4000015  0.496267736 0.0
  58.7999992  0.462949574 0.0
  59.2000008  0.434838682 0.0
  59.6000023  0.414658368 0.0
  60.  0.392955989 0.0
  60.4000015  0.370619506 0.0
  60.7999992  0.350717336 0.0
  61.2000008  0.326692939 0.0
  61.6000023  0.312812835 0.0
  62.  0.291267425 0.0
  62.4000015  0.277198464 0.0
  62.7999992  0.261988014 0.0
  63.2000008  0.239662141 0.0
  63.6000023  0.234400436 0.0
  64.  0.218567848 0.0
  64.4000015  0.207026824 0.0
  64.8000031  0.196089447 0.0
