  0.600000024  0. 0.0
  1.80000007  0. 0.0
  3.  0. 0.0
  4.20000029  0. 0.0
  5.4000001  0. 0.0
  6.60000038  0. 0.0
  7.80000019  0. 0.0
  9.  0. 0.0
  10.2000008  0. 0.0
  11.4000006  0. 0.0
  12.6000004  0. 0.0
  13.8000002  0. 0.0
  15.000001  0. 0.0
  16.2000008  0. 0.0
  17.4000015  0. 0.0
  18.6000004  0. 0.0
  19.8000011  0. 0.0
  21.  0. 0.0
  22.2000008  0. 0.0
  23.4000015  0. 0.0
  24.6000004  1.55386412 0.0
  25.8000011  10.4895992 0.0
  27.0000019  12.4648371 0.0
  28.2000008  14.3427124 0.0
  29.4000015  16.065546 0.0
  30.6000004  17.736227 0.0
  31.8000011  19.3607368 0.0
  33.  21.0449848 0.0
  34.2000008  22.7624111 0.0
  35.4000015  24.5401821 0.0
  36.6000023  26.3188095 0.0
  37.8000031  27.6743717 0.0
  39.  27.4763355 0.0
  40.2000008  23.8527145 0.0
  41.4000015  17.5891075 0.0
  42.6000023  12.1318951 0.0
  43.8000031  8.46213913 0.0
  45.  6.06364346 0.0
  46.2000008  4.48079967 0.0
  47.4000015  3.40050054 0.0
  48.6000023  2.62900925 0.0
  49.8000031  2.06724882 0.0
  51.0000038  1.64934647 0.0
  52.2000008  1.32688558 0.0
  53.4000015  1.07878065 0.0
  54.6000023  0.886994183 0.0
  55.8000031  0.732226729 0.0
  57.0000038  0.609355032 0.0
  58.2000008  0.508380055 0.0
  59.4000015  0.422923148 0.0
