  0.600000024  0. 0.0
  1.80000007  0. 0.0
  3.  0. 0.0
  4.20000029  0. 0.0
  5.4000001  0. 0.0
  6.60000038  0. 0.0
  7.80000019  0. 0.0
  9.  0. 0.0
  10.2000008  0. 0.0
  11.4000006  0. 0.0
  12.6000004  0. 0.0
  13.8000002  0. 0.0
  15.000001  0. 0.0
  16.2000008  0. 0.0
  17.4000015  0. 0.0
  18.6000004  0. 0.0
  19.8000011  0. 0.0
  21.  0. 0.0
  22.2000008  0. 0.0
  23.4000015  0. 0.0
  24.6000004  1.55370057 0.0
  25.8000011  10.4920502 0.0
  27.0000019  12.4630775 0.0
  28.2000008  14.3444471 0.0
  29.4000015  16.0613594 0.0
  30.6000004  17.7350044 0.0
  31.8000011  19.3589172 0.0
  33.  21.0394955 0.0
  34.2000008  22.7585564 0.0
  35.4000015  24.539259 0.0
  36.6000023  26.3166351 0.0
  37.8000031  27.6931171 0.0
  39.  27.5500793 0.0
  40.2000008  24.013586 0.0
  41.4000015  17.7597485 0.0
  42.6000023  12.2602453 0.0
  43.8000031  8.54349232 0.0
  45.  6.12040615 0.0
  46.2000008  4.51872444 0.0
  47.4000015  3.4273777 0.0
  48.6000023  2.65003324 0.0
  49.8000031  2.08453298 0.0
  51.0000038  1.65967238 0.0
  52.2000008  1.33810306 0.0
  53.4000015  1.08592522 0.0
  54.6000023  0.8926875 0.0
  55.8000031  0.737900078 0.0
  57.0000038  0.613624454 0.0
  58.2000008  0.512080789 0.0
  59.4000015  0.426593304 0.0
