  25.2000008  9.45918274 0.0
  25.6000004  10.0652285 0.0
  26.  10.7677307 0.0
  26.3999996  11.430584 0.0
  26.7999992  12.1447821 0.0
  27.2000008  12.7911205 0.0
  27.6000004  13.4120483 0.0
  28.  14.0232134 0.0
  28.3999996  14.6236916 0.0
  28.7999992  15.2023182 0.0
  29.2000008  15.8078489 0.0
  29.6000004  16.3837471 0.0
  30.  16.8983803 0.0
  30.3999996  17.5012913 0.0
  30.7999992  18.0493507 0.0
  31.2000008  18.5664482 0.0
  31.6000004  19.155077 0.0
  32.  19.6895332 0.0
  32.4000015  20.2341442 0.0
  32.7999992  20.7581711 0.0
  33.2000008  21.3360004 0.0
  33.5999985  21.8963127 0.0
  34.  22.480238 0.0
  34.4000015  23.0255699 0.0
  34.7999992  23.630846 0.0
  35.2000008  24.2593746 0.0
  35.5999985  24.8550644 0.0
  36.  25.4804401 0.0
  36.4000015  26.0893154 0.0
  36.7999992  26.6147652 0.0
  37.2000008  27.1611156 0.0
  37.5999985  27.6066341 0.0
  38.  27.9500389 0.0
  38.4000015  28.0675163 0.0
  38.7999992  27.9251289 0.0
  39.2000008  27.3841991 0.0
  39.5999985  26.4011078 0.0
  40.  24.9226894 0.0
  40.4000015  23.052824 0.0
  40.7999992  20.9011936 0.0
  41.2000008  18.6916142 0.0
  41.5999985  16.5432491 0.0
  42.  14.5878239 0.0
  42.4000015  12.8413887 0.0
  42.7999992  11.333704 0.0
  43.2000008  10.0105858 0.0
  43.5999985  8.8945837 0.0
  44.  7.92663145 0.0
  44.4000015  7.10455608 0.0
  44.7999992  6.37157393 0.0
  45.2000008  5.72739887 0.0
  45.5999985  5.18708467 0.0
  46.  4.69758463 0.0
  46.4000015  4.26167011 0.0
  46.7999992  3.87199306 0.0
  47.2000008  3.54862857 0.0
  47.5999985  3.2485261 0.0
  48.  2.97671008 0.0
  48.4000015  2.7574923 0.0
  48.7999992  2.52806592 0.0
  49.2000008  2.33117485 0.0
  49.5999985  2.15189219 0.0
  50.  1.99361861 0.0
  50.4000015  1.85051644 0.0
  50.7999992  1.71104777 0.0
  51.2000008  1.58698499 0.0
  51.6000023  1.47730839 0.0
  52.  1.3785218 0.0
  52.4000015  1.28545809 0.0
  52.7999992  1.19069266 0.0
  53.2000008  1.11255789 0.0
  53.6000023  1.04659748 0.0
  54.  0.970542848 0.0
  54.4000015  0.915854931 0.0
  54.7999992  0.858435869 0.0
  55.2000008  0.808980584 0.0
  55.6000023  0.760135114 0.0
  56.  0.70798856 0.0
  56.4000015  0.667193532 0.0
  56.7999992  0.629033506 0.0
  57.2000008  0.592460155 0.0
  57.6000023  0.551320612 0.0
  58.  0.523254991 0.0
  58.4000015  0.49468708 0.0
  58.7999992  0.458741784 0.0
  59.2000008  0.433814645 0.0
  59.6000023  0.41163516 0.0
  60.  0.39094767 0.0
  60.4000015  0.36743924 0.0
  60.7999992  0.348264903 0.0
  61.2000008  0.32465747 0.0
  61.6000023  0.310084641 0.0
  62.  0.290231258 0.0
  62.4000015  0.275653362 0.0
  62.7999992  0.25925985 0.0
  63.2000008  0.23881124 0.0
  63.6000023  0.232335061 0.0
  64.  0.217281222 0.0
  64.4000015  0.20598942 0.0
  64.8000031  0.192627072 0.0
