  25.2000008  9.45930862 0.0
  25.6000004  10.0638485 0.0
  26.  10.765769 0.0
  26.3999996  11.429018 0.0
  26.7999992  12.1493349 0.0
  27.2000008  12.7846355 0.0
  27.6000004  13.4202957 0.0
  28.  14.0211143 0.0
  28.3999996  14.6191969 0.0
  28.7999992  15.2071962 0.0
  29.2000008  15.8077784 0.0
  29.6000004  16.3768482 0.0
  30.  16.9006805 0.0
  30.3999996  17.506197 0.0
  30.7999992  18.0421028 0.0
  31.2000008  18.5701122 0.0
  31.6000004  19.1549015 0.0
  32.  19.687088 0.0
  32.4000015  20.2337074 0.0
  32.7999992  20.7583275 0.0
  33.2000008  21.3334084 0.0
  33.5999985  21.8980904 0.0
  34.  22.4799709 0.0
  34.4000015  23.0242062 0.0
  34.7999992  23.6304264 0.0
  35.2000008  24.2562675 0.0
  35.5999985  24.8503685 0.0
  36.  25.4770031 0.0
  36.4000015  26.0908127 0.0
  36.7999992  26.6168594 0.0
  37.2000008  27.1640491 0.0
  37.5999985  27.6018543 0.0
  38.  27.9555798 0.0
  38.4000015  28.084568 0.0
  38.7999992  27.9297371 0.0
  39.2000008  27.4047546 0.0
  39.5999985  26.4271679 0.0
  40.  24.9517803 0.0
  40.4000015  23.0905609 0.0
  40.7999992  20.937994 0.0
  41.2000008  18.7356224 0.0
  41.5999985  16.5777836 0.0
  42.  14.618515 0.0
  42.4000015  12.8721418 0.0
  42.7999992  11.3586712 0.0
  43.2000008  10.0308218 0.0
  43.5999985  8.91237926 0.0
  44.  7.94367599 0.0
  44.4000015  7.11709023 0.0
  44.7999992  6.38516521 0.0
  45.2000008  5.74102163 0.0
  45.5999985  5.19506216 0.0
  46.  4.70675182 0.0
  46.4000015  4.2670784 0.0
  46.7999992  3.88281226 0.0
  47.2000008  3.55385566 0.0
  47.5999985  3.25469851 0.0
  48.  2.98022389 0.0
  48.4000015  2.76036763 0.0
  48.7999992  2.53643441 0.0
  49.2000008  2.33288097 0.0
  49.5999985  2.15571308 0.0
  50.  1.99538481 0.0
  50.4000015  1.85281467 0.0
  50.7999992  1.71446848 0.0
  51.2000008  1.59047234 0.0
  51.6000023  1.47917736 0.0
  52.  1.3799175 0.0
  52.4000015  1.28770471 0.0
  52.7999992  1.19236887 0.0
  53.2000008  1.11545444 0.0
  53.6000023  1.04751551 0.0
  54.  0.972324431 0.0
  54.4000015  0.917898118 0.0
  54.7999992  0.859949052 0.0
  55.2000008  0.80941689 0.0
  55.6000023  0.761014938 0.0
  56.  0.708146751 0.0
  56.4000015  0.668702066 0.0
  56.7999992  0.630298078 0.0
  57.2000008  0.593270242 0.0
  57.6000023  0.551991105 0.0
  58.  0.525283813 0.0
  58.4000015  0.495635182 0.0
  58.7999992  0.459546506 0.0
  59.2000008  0.433237761 0.0
  59.6000023  0.413439155 0.0
  60.  0.391418368 0.0
  60.4000015  0.367554694 0.0
  60.7999992  0.347827494 0.0
  61.2000008  0.326637626 0.0
  61.6000023  0.310389072 0.0
  62.  0.291333705 0.0
  62.4000015  0.274823993 0.0
  62.7999992  0.260405749 0.0
  63.2000008  0.238680452 0.0
  63.6000023  0.232780337 0.0
  64.  0.217909247 0.0
  64.4000015  0.206988662 0.0
  64.8000031  0.193553343 0.0
